Commodity_Code,Commodity_Description,Country_Code,Country_Name,Market_Year,Calendar_Year,Month,Attribute_ID,Attribute_Description,Unit_ID,Unit_Description,Value
711100,"Coffee, Green",BR,Brazil,2012,2013,6,125,Domestic Consumption,2,(1000 60 KG BAGS),20025
711100,"Coffee, Green",BR,Brazil,2013,2014,6,125,Domestic Consumption,2,(1000 60 KG BAGS),20110
711100,"Coffee, Green",BR,Brazil,2014,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),20210
711100,"Coffee, Green",BR,Brazil,2015,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),20420
711100,"Coffee, Green",BR,Brazil,2016,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),20855
711100,"Coffee, Green",BR,Brazil,2017,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),21625
711100,"Coffee, Green",BR,Brazil,2018,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),22295
711100,"Coffee, Green",BR,Brazil,2019,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),23000
711100,"Coffee, Green",E4,European Union,2012,2015,6,125,Domestic Consumption,2,(1000 60 KG BAGS),45250
711100,"Coffee, Green",E4,European Union,2013,2015,12,125,Domestic Consumption,2,(1000 60 KG BAGS),43275
711100,"Coffee, Green",E4,European Union,2014,2015,12,125,Domestic Consumption,2,(1000 60 KG BAGS),41475
711100,"Coffee, Green",E4,European Union,2015,2016,12,125,Domestic Consumption,2,(1000 60 KG BAGS),43870
711100,"Coffee, Green",E4,European Union,2016,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),44464
711100,"Coffee, Green",E4,European Union,2017,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),44955
711100,"Coffee, Green",E4,European Union,2018,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),44960
711100,"Coffee, Green",E4,European Union,2019,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),45300
711100,"Coffee, Green",JA,Japan,2012,2015,6,125,Domestic Consumption,2,(1000 60 KG BAGS),7050
711100,"Coffee, Green",JA,Japan,2013,2016,6,125,Domestic Consumption,2,(1000 60 KG BAGS),7565
711100,"Coffee, Green",JA,Japan,2014,2015,6,125,Domestic Consumption,2,(1000 60 KG BAGS),7750
711100,"Coffee, Green",JA,Japan,2015,2017,6,125,Domestic Consumption,2,(1000 60 KG BAGS),7860
711100,"Coffee, Green",JA,Japan,2016,2017,6,125,Domestic Consumption,2,(1000 60 KG BAGS),8060
711100,"Coffee, Green",JA,Japan,2017,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),8220
711100,"Coffee, Green",JA,Japan,2018,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),8585
711100,"Coffee, Green",JA,Japan,2019,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),8580
711100,"Coffee, Green",RP,Philippines,2012,2013,6,125,Domestic Consumption,2,(1000 60 KG BAGS),3660
711100,"Coffee, Green",RP,Philippines,2013,2014,6,125,Domestic Consumption,2,(1000 60 KG BAGS),4405
711100,"Coffee, Green",RP,Philippines,2014,2016,12,125,Domestic Consumption,2,(1000 60 KG BAGS),3590
711100,"Coffee, Green",RP,Philippines,2015,2016,12,125,Domestic Consumption,2,(1000 60 KG BAGS),4230
711100,"Coffee, Green",RP,Philippines,2016,2017,6,125,Domestic Consumption,2,(1000 60 KG BAGS),6210
711100,"Coffee, Green",RP,Philippines,2017,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),6995
711100,"Coffee, Green",RP,Philippines,2018,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),5750
711100,"Coffee, Green",RP,Philippines,2019,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),5425
711100,"Coffee, Green",US,United States,2012,2015,6,125,Domestic Consumption,2,(1000 60 KG BAGS),22946
711100,"Coffee, Green",US,United States,2013,2015,6,125,Domestic Consumption,2,(1000 60 KG BAGS),23027
711100,"Coffee, Green",US,United States,2014,2015,6,125,Domestic Consumption,2,(1000 60 KG BAGS),23811
711100,"Coffee, Green",US,United States,2015,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),23568
711100,"Coffee, Green",US,United States,2016,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),25089
711100,"Coffee, Green",US,United States,2017,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),25544
711100,"Coffee, Green",US,United States,2018,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),25915
711100,"Coffee, Green",US,United States,2019,2018,6,125,Domestic Consumption,2,(1000 60 KG BAGS),27050
