Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
Japan,2016,Total,Both Sexes,Total,Estimate - de jure,"Final figure, complete",2017,126995000,"1,2,3"
Japan,2016,Total,Both Sexes,0 - 4,Estimate - de jure,"Final figure, complete",2017,4982000,"1,2,3"
Japan,2016,Total,Both Sexes,9-May,Estimate - de jure,"Final figure, complete",2017,5318000,"1,2,3"
Japan,2016,Total,Both Sexes,14-Oct,Estimate - de jure,"Final figure, complete",2017,5548000,"1,2,3"
Japan,2016,Total,Both Sexes,15 - 19,Estimate - de jure,"Final figure, complete",2017,6062000,"1,2,3"
Japan,2016,Total,Both Sexes,20 - 24,Estimate - de jure,"Final figure, complete",2017,6141000,"1,2,3"
Japan,2016,Total,Both Sexes,25 - 29,Estimate - de jure,"Final figure, complete",2017,6427000,"1,2,3"
Japan,2016,Total,Both Sexes,30 - 34,Estimate - de jure,"Final figure, complete",2017,7298000,"1,2,3"
Japan,2016,Total,Both Sexes,35 - 39,Estimate - de jure,"Final figure, complete",2017,8188000,"1,2,3"
Japan,2016,Total,Both Sexes,40 - 44,Estimate - de jure,"Final figure, complete",2017,9761000,"1,2,3"
Japan,2016,Total,Both Sexes,45 - 49,Estimate - de jure,"Final figure, complete",2017,9108000,"1,2,3"
Japan,2016,Total,Both Sexes,50 - 54,Estimate - de jure,"Final figure, complete",2017,7945000,"1,2,3"
Japan,2016,Total,Both Sexes,55 - 59,Estimate - de jure,"Final figure, complete",2017,7547000,"1,2,3"
Japan,2016,Total,Both Sexes,60 - 64,Estimate - de jure,"Final figure, complete",2017,8234000,"1,2,3"
Japan,2016,Total,Both Sexes,65 - 69,Estimate - de jure,"Final figure, complete",2017,10272000,"1,2,3"
Japan,2016,Total,Both Sexes,70 - 74,Estimate - de jure,"Final figure, complete",2017,7409000,"1,2,3"
Japan,2016,Total,Both Sexes,75 - 79,Estimate - de jure,"Final figure, complete",2017,6447000,"1,2,3"
Japan,2016,Total,Both Sexes,80 - 84,Estimate - de jure,"Final figure, complete",2017,5153000,"1,2,3"
Japan,2016,Total,Both Sexes,85 - 89,Estimate - de jure,"Final figure, complete",2017,3247000,"1,2,3"
Japan,2016,Total,Both Sexes,90 - 94,Estimate - de jure,"Final figure, complete",2017,1460000,"1,2,3"
Japan,2016,Total,Both Sexes,95 - 99,Estimate - de jure,"Final figure, complete",2017,380000,"1,2,3"
Japan,2016,Total,Both Sexes,100 +,Estimate - de jure,"Final figure, complete",2017,66000,"1,2,3"
Japan,2016,Total,Male,Total,Estimate - de jure,"Final figure, complete",2017,61781000,"1,2,3"
Japan,2016,Total,Male,0 - 4,Estimate - de jure,"Final figure, complete",2017,2549000,"1,2,3"
Japan,2016,Total,Male,9-May,Estimate - de jure,"Final figure, complete",2017,2725000,"1,2,3"
Japan,2016,Total,Male,14-Oct,Estimate - de jure,"Final figure, complete",2017,2841000,"1,2,3"
Japan,2016,Total,Male,15 - 19,Estimate - de jure,"Final figure, complete",2017,3114000,"1,2,3"
Japan,2016,Total,Male,20 - 24,Estimate - de jure,"Final figure, complete",2017,3152000,"1,2,3"
Japan,2016,Total,Male,25 - 29,Estimate - de jure,"Final figure, complete",2017,3284000,"1,2,3"
Japan,2016,Total,Male,30 - 34,Estimate - de jure,"Final figure, complete",2017,3704000,"1,2,3"
Japan,2016,Total,Male,35 - 39,Estimate - de jure,"Final figure, complete",2017,4150000,"1,2,3"
Japan,2016,Total,Male,40 - 44,Estimate - de jure,"Final figure, complete",2017,4942000,"1,2,3"
Japan,2016,Total,Male,45 - 49,Estimate - de jure,"Final figure, complete",2017,4595000,"1,2,3"
Japan,2016,Total,Male,50 - 54,Estimate - de jure,"Final figure, complete",2017,3988000,"1,2,3"
Japan,2016,Total,Male,55 - 59,Estimate - de jure,"Final figure, complete",2017,3758000,"1,2,3"
Japan,2016,Total,Male,60 - 64,Estimate - de jure,"Final figure, complete",2017,4054000,"1,2,3"
Japan,2016,Total,Male,65 - 69,Estimate - de jure,"Final figure, complete",2017,4971000,"1,2,3"
Japan,2016,Total,Male,70 - 74,Estimate - de jure,"Final figure, complete",2017,3449000,"1,2,3"
Japan,2016,Total,Male,75 - 79,Estimate - de jure,"Final figure, complete",2017,2868000,"1,2,3"
Japan,2016,Total,Male,80 - 84,Estimate - de jure,"Final figure, complete",2017,2081000,"1,2,3"
Japan,2016,Total,Male,85 - 89,Estimate - de jure,"Final figure, complete",2017,1109000,"1,2,3"
Japan,2016,Total,Male,90 - 94,Estimate - de jure,"Final figure, complete",2017,372000,"1,2,3"
Japan,2016,Total,Male,95 - 99,Estimate - de jure,"Final figure, complete",2017,67000,"1,2,3"
Japan,2016,Total,Male,100 +,Estimate - de jure,"Final figure, complete",2017,9000,"1,2,3"
Japan,2016,Total,Female,Total,Estimate - de jure,"Final figure, complete",2017,65213000,"1,2,3"
Japan,2016,Total,Female,0 - 4,Estimate - de jure,"Final figure, complete",2017,2433000,"1,2,3"
Japan,2016,Total,Female,9-May,Estimate - de jure,"Final figure, complete",2017,2593000,"1,2,3"
Japan,2016,Total,Female,14-Oct,Estimate - de jure,"Final figure, complete",2017,2707000,"1,2,3"
Japan,2016,Total,Female,15 - 19,Estimate - de jure,"Final figure, complete",2017,2948000,"1,2,3"
Japan,2016,Total,Female,20 - 24,Estimate - de jure,"Final figure, complete",2017,2989000,"1,2,3"
Japan,2016,Total,Female,25 - 29,Estimate - de jure,"Final figure, complete",2017,3143000,"1,2,3"
Japan,2016,Total,Female,30 - 34,Estimate - de jure,"Final figure, complete",2017,3594000,"1,2,3"
Japan,2016,Total,Female,35 - 39,Estimate - de jure,"Final figure, complete",2017,4038000,"1,2,3"
Japan,2016,Total,Female,40 - 44,Estimate - de jure,"Final figure, complete",2017,4819000,"1,2,3"
Japan,2016,Total,Female,45 - 49,Estimate - de jure,"Final figure, complete",2017,4513000,"1,2,3"
Japan,2016,Total,Female,50 - 54,Estimate - de jure,"Final figure, complete",2017,3957000,"1,2,3"
