Date,PX_LAST,FUT_AGGTE_VOL
6/29/18,127.05,186
6/28/18,127.95,150
6/27/18,130.8,231
6/26/18,131.45,261
6/25/18,130.6,128
6/22/18,130.2,169
6/21/18,128.55,232
6/20/18,129.9,64
6/19/18,130.5,193
6/18/18,130.95,219
6/15/18,131.95,253
6/14/18,132.65,146
6/13/18,133.5,98
6/12/18,134.8,154
6/11/18,134.5,90
6/8/18,134.7,376
6/7/18,132.65,396
6/6/18,136,316
6/5/18,137.6,322
6/4/18,140.3,159
6/1/18,141.95,833
5/30/18,138.7,537
5/29/18,138.65,410
5/28/18,138.85,119
5/25/18,138.85,382
5/24/18,139.05,297
5/23/18,137.45,361
5/22/18,140.95,519
5/21/18,140.1,402
5/18/18,137.1,444
5/17/18,137,491
5/16/18,136.2,379
5/15/18,135.75,300
5/14/18,136.75,182
5/11/18,138.85,79
5/10/18,140.25,134
5/9/18,139.15,135
5/8/18,140.55,393
5/7/18,142.75,497
5/4/18,145.7,756
5/3/18,148.05,688
5/2/18,147.25,1082
4/30/18,146,159
4/27/18,145.6,525
4/26/18,141.95,179
4/25/18,140.95,184
4/24/18,143.15,357
4/23/18,141.15,269
4/20/18,139.5,121
4/19/18,137.5,230
4/18/18,138.4,333
4/17/18,136.6,228
4/16/18,137.5,417
4/13/18,141.55,105
4/12/18,142.35,542
4/11/18,142.7,965
4/10/18,141.95,116
4/9/18,143.35,183
4/6/18,141.75,128
4/5/18,141.9,275
4/4/18,141.05,236
4/3/18,140.65,199
4/2/18,140.35,256
3/29/18,142.7,691
3/28/18,142.15,43
3/27/18,143.75,250
3/26/18,142.7,44
3/23/18,141.4,169
3/22/18,143.8,99
3/21/18,139.5,409
3/20/18,139.65,3217
3/19/18,140.15,251
3/16/18,138.3,131
3/15/18,139.25,346
3/14/18,142.25,191
3/13/18,142.95,438
3/12/18,139.9,86
3/9/18,140.8,46
3/8/18,141,144
3/7/18,141.4,181
3/6/18,142.25,211
3/5/18,141.3,184
3/2/18,142.8,261
3/1/18,145.6,485
2/28/18,143.7,1447
2/27/18,142.25,602
2/26/18,143,394
2/23/18,142.05,782
2/22/18,142.25,620
2/21/18,138.75,627
2/20/18,142.1,831
2/19/18,141.75,149
2/16/18,141.75,710
2/15/18,146.8,546
2/14/18,149.25,340
2/12/18,148.9,#N/A N/A
2/9/18,148,530
2/8/18,151.85,276
2/7/18,154.05,708
2/6/18,153.45,425
2/5/18,150.55,270
2/2/18,151.45,274
2/1/18,152.75,219
1/31/18,153.55,204
1/30/18,154.15,637
1/29/18,157.3,457
1/26/18,158,389
1/25/18,#N/A N/A,8
1/24/18,155.05,380
1/23/18,153,360
1/22/18,155.85,1039
1/19/18,154.5,388
1/18/18,154.2,359
1/17/18,156.4,262
1/16/18,153.95,374
1/15/18,153.95,73
1/12/18,153.95,165
1/11/18,154.5,241
1/10/18,155.25,316
1/9/18,156.85,323
1/8/18,157.75,367
1/5/18,161.6,145
1/4/18,163.05,374
1/3/18,161.8,419
1/2/18,163.95,947
12/29/17,157.5,3
12/28/17,157.15,271
12/27/17,156.7,431
12/26/17,153.85,106
12/22/17,152.35,237
12/21/17,154.7,308
12/20/17,155.9,229
12/19/17,146.85,321
12/18/17,147.05,493
12/15/17,144.9,448
12/14/17,147.85,306
12/13/17,147.55,166
12/12/17,145.05,279
12/11/17,147.65,439
12/8/17,149.75,256
12/7/17,150.1,441
12/6/17,155.35,207
12/5/17,156.85,456
12/4/17,157.9,188
12/1/17,158.95,871
11/30/17,157.3,445
11/29/17,161.65,846
11/28/17,158.8,630
11/27/17,156.9,322
11/24/17,155.45,1196
11/23/17,153,65
11/22/17,153.4,296
11/21/17,152.45,885
11/20/17,#N/A N/A,42
11/17/17,152.4,583
11/16/17,155.8,195
11/14/17,154.7,699
11/13/17,155.45,267
11/10/17,156.3,387
11/9/17,155.15,586
11/8/17,154.3,233
11/7/17,154.5,177
11/6/17,155.65,560
11/3/17,153.5,528
11/1/17,152.2,626
10/31/17,154.75,164
10/30/17,156,191
10/27/17,157.25,379
10/26/17,154.3,168
10/25/17,153.75,319
10/24/17,152.55,331
10/23/17,154.5,449
10/20/17,155,454
10/19/17,157.1,543
10/18/17,153.75,242
10/17/17,153.65,571
10/16/17,152.85,570
10/13/17,154.85,397
10/11/17,155.4,491
10/10/17,159.75,507
10/9/17,160,613
10/6/17,159.55,514
10/5/17,157.45,1131
10/4/17,154.95,364
10/3/17,153.2,194
10/2/17,155.5,250
9/29/17,156.75,275
9/28/17,156.65,426
9/27/17,158.4,695
9/26/17,161,1101
9/25/17,161.2,396
9/22/17,164.8,345
9/21/17,160.8,403
