Commodity_Code,Commodity_Description,Country_Code,Country_Name,Market_Year,Calendar_Year,Month,Attribute_ID,Attribute_Description,Unit_ID,Unit_Description,Value
711100,"Coffee, Green",AG,Algeria,2003,2012,6,29,Arabica Production,2,(1000 60 KG BAGS),0
711100,"Coffee, Green",AG,Algeria,2004,2012,6,29,Arabica Production,2,(1000 60 KG BAGS),0
711100,"Coffee, Green",AG,Algeria,2005,2012,6,29,Arabica Production,2,(1000 60 KG BAGS),0
711100,"Coffee, Green",AG,Algeria,2006,2012,6,29,Arabica Production,2,(1000 60 KG BAGS),0
711100,"Coffee, Green",AG,Algeria,2007,2012,6,29,Arabica Production,2,(1000 60 KG BAGS),0
711100,"Coffee, Green",AG,Algeria,2008,2012,6,29,Arabica Production,2,(1000 60 KG BAGS),0
711100,"Coffee, Green",AG,Algeria,2009,2012,6,29,Arabica Production,2,(1000 60 KG BAGS),0
711100,"Coffee, Green",AG,Algeria,2010,2012,6,29,Arabica Production,2,(1000 60 KG BAGS),0
711100,"Coffee, Green",AG,Algeria,2011,2012,12,29,Arabica Production,2,(1000 60 KG BAGS),0
711100,"Coffee, Green",AG,Algeria,2012,2015,6,29,Arabica Production,2,(1000 60 KG BAGS),0
711100,"Coffee, Green",AG,Algeria,2013,2014,6,29,Arabica Production,2,(1000 60 KG BAGS),0
711100,"Coffee, Green",AG,Algeria,2014,2015,6,29,Arabica Production,2,(1000 60 KG BAGS),0
711100,"Coffee, Green",AG,Algeria,2015,2016,6,29,Arabica Production,2,(1000 60 KG BAGS),0
711100,"Coffee, Green",AG,Algeria,2016,2017,6,29,Arabica Production,2,(1000 60 KG BAGS),0
711100,"Coffee, Green",AG,Algeria,2017,2018,6,29,Arabica Production,2,(1000 60 KG BAGS),0
711100,"Coffee, Green",AG,Algeria,2018,2017,12,29,Arabica Production,2,(1000 60 KG BAGS),0
711100,"Coffee, Green",AG,Algeria,2019,2018,6,29,Arabica Production,2,(1000 60 KG BAGS),0
711100,"Coffee, Green",AO,Angola,1961,1960,0,29,Arabica Production,2,(1000 60 KG BAGS),50
711100,"Coffee, Green",AO,Angola,1962,1961,0,29,Arabica Production,2,(1000 60 KG BAGS),56
711100,"Coffee, Green",AO,Angola,1963,1962,0,29,Arabica Production,2,(1000 60 KG BAGS),50
711100,"Coffee, Green",AO,Angola,1964,1963,0,29,Arabica Production,2,(1000 60 KG BAGS),54
711100,"Coffee, Green",AO,Angola,1965,1964,0,29,Arabica Production,2,(1000 60 KG BAGS),50
711100,"Coffee, Green",AO,Angola,1966,1965,0,29,Arabica Production,2,(1000 60 KG BAGS),61
711100,"Coffee, Green",AO,Angola,1967,1966,0,29,Arabica Production,2,(1000 60 KG BAGS),74
711100,"Coffee, Green",AO,Angola,1968,1967,0,29,Arabica Production,2,(1000 60 KG BAGS),69
711100,"Coffee, Green",AO,Angola,1969,1968,0,29,Arabica Production,2,(1000 60 KG BAGS),70
711100,"Coffee, Green",AO,Angola,1970,1969,0,29,Arabica Production,2,(1000 60 KG BAGS),67
711100,"Coffee, Green",AO,Angola,1971,1970,0,29,Arabica Production,2,(1000 60 KG BAGS),56
711100,"Coffee, Green",AO,Angola,1972,1971,0,29,Arabica Production,2,(1000 60 KG BAGS),78
711100,"Coffee, Green",AO,Angola,1973,1972,0,29,Arabica Production,2,(1000 60 KG BAGS),79
711100,"Coffee, Green",AO,Angola,1974,1973,0,29,Arabica Production,2,(1000 60 KG BAGS),71
711100,"Coffee, Green",AO,Angola,1975,1974,0,29,Arabica Production,2,(1000 60 KG BAGS),69
711100,"Coffee, Green",AO,Angola,1976,1975,0,29,Arabica Production,2,(1000 60 KG BAGS),24
711100,"Coffee, Green",AO,Angola,1977,1976,0,29,Arabica Production,2,(1000 60 KG BAGS),22
711100,"Coffee, Green",AO,Angola,1978,1977,0,29,Arabica Production,2,(1000 60 KG BAGS),30
711100,"Coffee, Green",AO,Angola,1979,1978,0,29,Arabica Production,2,(1000 60 KG BAGS),25
711100,"Coffee, Green",AO,Angola,1980,1979,0,29,Arabica Production,2,(1000 60 KG BAGS),20
711100,"Coffee, Green",AO,Angola,1981,1980,0,29,Arabica Production,2,(1000 60 KG BAGS),30
711100,"Coffee, Green",AO,Angola,1982,1981,0,29,Arabica Production,2,(1000 60 KG BAGS),20
711100,"Coffee, Green",AO,Angola,1983,1982,0,29,Arabica Production,2,(1000 60 KG BAGS),20
711100,"Coffee, Green",AO,Angola,1984,1983,0,29,Arabica Production,2,(1000 60 KG BAGS),20
711100,"Coffee, Green",AO,Angola,1985,1984,0,29,Arabica Production,2,(1000 60 KG BAGS),20
711100,"Coffee, Green",AO,Angola,1986,1985,0,29,Arabica Production,2,(1000 60 KG BAGS),20
711100,"Coffee, Green",AO,Angola,1987,1986,0,29,Arabica Production,2,(1000 60 KG BAGS),20
711100,"Coffee, Green",AO,Angola,1988,1987,0,29,Arabica Production,2,(1000 60 KG BAGS),20
711100,"Coffee, Green",AO,Angola,1989,1988,0,29,Arabica Production,2,(1000 60 KG BAGS),15
711100,"Coffee, Green",AO,Angola,1990,1989,0,29,Arabica Production,2,(1000 60 KG BAGS),10
711100,"Coffee, Green",AO,Angola,1991,1990,0,29,Arabica Production,2,(1000 60 KG BAGS),20
711100,"Coffee, Green",AO,Angola,1992,1991,0,29,Arabica Production,2,(1000 60 KG BAGS),20
711100,"Coffee, Green",AO,Angola,1993,1992,0,29,Arabica Production,2,(1000 60 KG BAGS),0
