,Date,Max Temperature C,Min Temperature C,Precipitation Total,Humidity Avg
0,2013-01-01,26,8,0.0,39.75
1,2013-01-02,26,8,0.0,35.625
2,2013-01-03,26,7,0.0,40.625
3,2013-01-04,27,8,0.0,54.75
4,2013-01-05,26,9,0.0,52.125
5,2013-01-06,26,11,0.7,61.75
6,2013-01-07,27,10,0.7000000000000001,63.875
7,2013-01-08,26,10,0.4,63.5
8,2013-01-09,26,10,1.1,67.0
9,2013-01-10,27,10,0.8,65.375
10,2013-01-11,27,11,0.7000000000000001,64.375
11,2013-01-12,27,10,0.0,62.875
12,2013-01-13,27,9,0.0,50.875
13,2013-01-14,28,9,0.0,48.875
14,2013-01-15,28,9,0.0,46.5
15,2013-01-16,27,10,0.0,54.875
16,2013-01-17,28,10,0.0,56.125
17,2013-01-18,27,9,0.0,46.0
18,2013-01-19,28,9,0.0,35.375
19,2013-01-20,28,8,0.0,28.5
20,2013-01-21,28,8,0.0,31.25
21,2013-01-22,28,8,0.0,36.875
22,2013-01-23,28,9,0.0,37.375
23,2013-01-24,27,10,0.0,45.25
24,2013-01-25,27,10,0.0,51.0
25,2013-01-26,27,10,0.0,48.75
26,2013-01-27,28,10,0.0,45.25
27,2013-01-28,28,10,0.0,45.75
28,2013-01-29,28,9,0.0,56.875
29,2013-01-30,28,11,0.0,53.0
30,2013-01-31,28,11,0.0,56.5
31,2013-02-01,28,11,0.0,53.125
32,2013-02-02,27,12,1.2,59.75
33,2013-02-03,27,11,0.1,49.875
34,2013-02-04,27,11,0.1,57.5
35,2013-02-05,29,11,0.2,57.125
36,2013-02-06,28,10,0.0,55.375
37,2013-02-07,28,11,0.2,56.75
38,2013-02-08,27,10,0.0,50.0
39,2013-02-09,28,10,0.0,42.125
40,2013-02-10,28,10,0.0,40.75
41,2013-02-11,28,10,0.0,36.25
42,2013-02-12,29,11,0.0,43.625
43,2013-02-13,28,10,0.0,45.25
44,2013-02-14,29,10,0.0,46.75
45,2013-02-15,29,9,0.0,33.5
46,2013-02-16,29,9,0.0,28.875
47,2013-02-17,29,9,0.0,28.75
48,2013-02-18,29,9,0.0,27.0
49,2013-02-19,29,10,0.0,27.25
50,2013-02-20,29,10,0.0,28.625
51,2013-02-21,28,10,0.0,35.125
52,2013-02-22,30,11,0.0,40.125
53,2013-02-23,32,11,0.0,35.125
54,2013-02-24,33,9,0.0,29.625
55,2013-02-25,32,10,0.0,35.875
56,2013-02-26,31,10,0.0,35.625
57,2013-02-27,30,9,0.0,38.625
58,2013-02-28,30,10,0.0,38.5
59,2013-03-01,29,11,0.2,48.25
60,2013-03-02,30,11,0.30000000000000004,51.75
61,2013-03-03,30,11,1.0,54.5
62,2013-03-04,30,11,0.0,53.5
63,2013-03-05,30,11,0.0,49.375
64,2013-03-06,30,11,0.0,51.375
65,2013-03-07,29,12,0.1,57.875
66,2013-03-08,30,11,0.2,54.75
67,2013-03-09,29,11,0.1,55.875
68,2013-03-10,29,11,0.0,44.125
69,2013-03-11,28,11,0.7,60.625
70,2013-03-12,29,11,4.3,64.375
71,2013-03-13,28,13,3.1999999999999997,65.75
72,2013-03-14,31,10,2.2,62.625
73,2013-03-15,30,13,0.7999999999999999,62.625
74,2013-03-16,30,10,0.0,57.0
75,2013-03-17,29,11,3.4000000000000004,62.5
76,2013-03-18,28,12,6.3,68.0
77,2013-03-19,28,10,6.1,69.5
78,2013-03-20,26,13,3.4,73.25
79,2013-03-21,27,14,9.2,70.625
80,2013-03-22,27,11,6.7,68.5
81,2013-03-23,21,16,26.8,83.0
82,2013-03-24,27,13,1.9,72.125
83,2013-03-25,24,13,10.2,76.0
84,2013-03-26,25,12,3.9,73.125
85,2013-03-27,27,11,7.1000000000000005,72.625
86,2013-03-28,27,11,4.300000000000001,71.25
87,2013-03-29,27,12,2.2,71.0
88,2013-03-30,27,10,0.3,67.75
89,2013-03-31,27,11,0.5,67.125
90,2013-04-01,27,13,0.0,64.0
91,2013-04-02,27,10,0.0,65.625
92,2013-04-03,30,10,0.1,62.75
93,2013-04-04,27,13,0.4,65.75
94,2013-04-05,30,13,2.9000000000000004,65.625
95,2013-04-06,28,12,2.7,69.0
96,2013-04-07,28,11,1.4000000000000001,69.125
97,2013-04-08,27,11,0.7000000000000001,68.5
98,2013-04-09,28,11,0.5,68.0
99,2013-04-10,28,11,0.0,62.875
100,2013-04-11,29,11,0.8999999999999999,67.75
101,2013-04-12,27,11,4.7,71.25
102,2013-04-13,27,10,5.699999999999999,75.25
103,2013-04-14,28,11,0.8,66.0
104,2013-04-15,28,11,0.0,62.625
105,2013-04-16,29,10,0.4,56.625
106,2013-04-17,28,11,0.6000000000000001,61.625
107,2013-04-18,27,12,8.0,73.75
108,2013-04-19,28,11,4.5,68.625
109,2013-04-20,28,11,1.0,67.625
110,2013-04-21,28,10,0.4,63.75
111,2013-04-22,27,11,3.0,71.75
112,2013-04-23,27,12,3.6999999999999997,73.875
113,2013-04-24,29,12,10.5,72.75
114,2013-04-25,27,10,3.2,65.0
115,2013-04-26,26,10,5.000000000000001,75.875
116,2013-04-27,26,11,9.399999999999999,76.875
117,2013-04-28,28,10,2.7,68.625
118,2013-04-29,27,11,8.5,74.875
119,2013-04-30,27,11,2.0,72.0
120,2013-05-01,26,12,7.0,77.375
121,2013-05-02,25,13,7.6000000000000005,81.0
122,2013-05-03,22,13,6.9,85.25
123,2013-05-04,25,13,10.3,77.25
124,2013-05-05,25,10,8.7,79.5
125,2013-05-06,19,15,19.900000000000002,91.0
126,2013-05-07,25,11,2.7,78.25
127,2013-05-08,24,12,6.199999999999999,83.0
128,2013-05-09,25,10,3.7,79.625
129,2013-05-10,26,9,4.9,78.25
130,2013-05-11,26,12,5.4,72.875
131,2013-05-12,26,10,0.7,73.25
132,2013-05-13,26,10,3.2,76.375
133,2013-05-14,26,9,0.8999999999999999,74.25
134,2013-05-15,25,9,3.3,76.875
135,2013-05-16,26,9,0.6000000000000001,74.625
136,2013-05-17,26,9,0.5,70.625
137,2013-05-18,27,9,1.0,66.375
138,2013-05-19,27,9,0.1,62.875
139,2013-05-20,26,9,0.2,70.625
140,2013-05-21,25,8,1.0,76.625
141,2013-05-22,26,10,2.6,76.875
142,2013-05-23,26,9,1.5,71.625
143,2013-05-24,26,9,4.3,77.0
144,2013-05-25,22,13,11.7,84.0
145,2013-05-26,25,11,4.1000000000000005,78.75
146,2013-05-27,26,9,1.7000000000000002,70.5
147,2013-05-28,25,10,1.8,75.625
148,2013-05-29,25,8,0.1,67.0
149,2013-05-30,26,9,1.7000000000000002,74.375
150,2013-05-31,25,9,0.9000000000000001,75.25
151,2013-06-01,23,10,6.5,82.375
152,2013-06-02,24,9,3.1,77.75
153,2013-06-03,24,9,1.9000000000000001,79.125
154,2013-06-04,23,9,1.9000000000000001,83.0
155,2013-06-05,24,9,1.7999999999999998,81.625
156,2013-06-06,22,9,1.6,83.5
157,2013-06-07,23,11,4.6000000000000005,84.375
158,2013-06-08,24,8,1.4000000000000001,82.625
159,2013-06-09,23,11,4.3,83.75
160,2013-06-10,24,8,4.6,84.5
161,2013-06-11,24,9,3.3,83.5
162,2013-06-12,24,10,1.9000000000000001,81.625
163,2013-06-13,23,11,4.1,85.875
164,2013-06-14,19,11,7.5,91.375
165,2013-06-15,22,10,1.1,83.625
166,2013-06-16,22,10,7.299999999999999,88.375
167,2013-06-17,19,14,18.7,91.125
168,2013-06-18,21,13,7.8,86.875
169,2013-06-19,21,13,8.7,87.375
170,2013-06-20,22,10,4.1000000000000005,86.5
171,2013-06-21,23,12,3.0999999999999996,85.375
172,2013-06-22,23,11,0.9999999999999999,83.25
173,2013-06-23,23,9,1.9,83.125
174,2013-06-24,23,10,1.5,83.875
175,2013-06-25,23,11,3.1,86.125
176,2013-06-26,23,11,2.3000000000000003,84.25
177,2013-06-27,23,10,5.0,85.0
178,2013-06-28,23,10,3.5,85.75
179,2013-06-29,23,8,4.4,85.5
180,2013-06-30,22,10,3.5,85.5
181,2013-07-01,22,11,2.7,85.5
182,2013-07-02,23,10,7.800000000000001,85.875
183,2013-07-03,22,11,3.7,85.375
184,2013-07-04,23,10,3.2,82.875
185,2013-07-05,22,12,1.8,82.875
186,2013-07-06,21,12,3.8000000000000003,86.375
187,2013-07-07,22,10,3.5000000000000004,84.75
188,2013-07-08,23,10,6.1,85.125
189,2013-07-09,20,11,2.9999999999999996,88.25
190,2013-07-10,20,13,3.0999999999999996,88.125
191,2013-07-11,22,11,3.0,85.0
192,2013-07-12,23,9,1.4000000000000001,85.0
193,2013-07-13,22,11,3.1999999999999997,87.0
194,2013-07-14,18,11,8.8,94.625
195,2013-07-15,22,8,2.1,83.75
196,2013-07-16,23,9,4.6,86.5
197,2013-07-17,17,12,6.6000000000000005,93.75
198,2013-07-18,22,8,0.7999999999999999,80.375
199,2013-07-19,23,10,0.2,82.625
200,2013-07-20,23,11,3.3,85.5
201,2013-07-21,20,13,6.2,90.625
202,2013-07-22,20,13,4.5,90.25
203,2013-07-23,22,12,8.299999999999999,85.375
204,2013-07-24,23,12,3.6,85.375
205,2013-07-25,22,11,3.6,85.5
206,2013-07-26,21,12,3.1999999999999997,87.375
207,2013-07-27,21,11,4.7,88.75
208,2013-07-28,20,10,5.1,90.125
209,2013-07-29,22,10,6.800000000000001,87.375
210,2013-07-30,23,11,4.300000000000001,86.25
211,2013-07-31,20,11,3.7,86.625
212,2013-08-01,21,10,1.3,84.0
213,2013-08-02,18,12,8.9,90.625
214,2013-08-03,21,9,3.6,86.625
215,2013-08-04,20,11,2.9,87.75
216,2013-08-05,19,10,5.199999999999999,91.5
217,2013-08-06,21,11,1.4000000000000001,85.25
218,2013-08-07,21,12,3.1,87.625
219,2013-08-08,22,10,1.5,85.25
220,2013-08-09,22,11,1.2,84.25
221,2013-08-10,23,10,0.8,83.0
222,2013-08-11,23,10,1.5999999999999999,82.25
223,2013-08-12,22,8,2.5,85.25
224,2013-08-13,22,10,6.0,87.0
225,2013-08-14,23,9,3.9,85.875
226,2013-08-15,23,10,4.9,85.625
227,2013-08-16,26,8,7.6,86.25
228,2013-08-17,26,8,3.5,84.5
229,2013-08-18,26,10,3.6,86.375
230,2013-08-19,23,12,4.1,87.375
231,2013-08-20,23,12,9.7,90.125
232,2013-08-21,24,8,2.8,85.5
233,2013-08-22,25,10,4.300000000000001,86.125
234,2013-08-23,26,9,1.4000000000000001,82.25
235,2013-08-24,25,9,1.6,82.25
236,2013-08-25,24,11,8.3,85.5
237,2013-08-26,25,10,1.9,83.0
238,2013-08-27,25,12,3.9,83.875
239,2013-08-28,24,11,4.2,85.25
240,2013-08-29,25,9,4.1,85.125
241,2013-08-30,25,8,4.999999999999999,85.625
242,2013-08-31,26,6,3.5,82.625
243,2013-09-01,27,8,4.5,80.375
244,2013-09-02,26,9,4.8,82.5
245,2013-09-03,26,7,4.6000000000000005,84.25
246,2013-09-04,26,7,7.5,82.75
247,2013-09-05,26,9,15.7,85.375
248,2013-09-06,24,12,2.6,85.75
249,2013-09-07,25,8,6.6,85.75
250,2013-09-08,26,8,1.9,78.25
251,2013-09-09,26,9,2.8000000000000003,82.875
252,2013-09-10,27,9,1.6,80.25
253,2013-09-11,26,8,2.4,79.5
254,2013-09-12,25,9,6.1,81.125
255,2013-09-13,25,9,7.300000000000001,85.125
256,2013-09-14,27,9,3.0,80.625
257,2013-09-15,26,9,10.8,82.5
258,2013-09-16,23,12,10.3,87.125
259,2013-09-17,25,12,4.3999999999999995,85.375
260,2013-09-18,23,12,4.6,88.875
261,2013-09-19,27,8,3.5000000000000004,83.125
262,2013-09-20,27,9,3.5,74.625
263,2013-09-21,27,9,3.2,74.875
264,2013-09-22,27,10,5.199999999999999,80.5
