,Date,Max Temperature C,Min Temperature C,Precipitation Total,Humidity Avg
0,2013-01-01,31,27,1.8000000000000003,75.875
1,2013-01-02,32,25,5.7,79.625
2,2013-01-03,33,25,5.200000000000001,80.625
3,2013-01-04,33,26,16.400000000000002,78.25
4,2013-01-05,31,26,31.8,82.875
5,2013-01-06,33,25,6.6,77.875
6,2013-01-07,31,25,1.5999999999999999,81.0
7,2013-01-08,34,25,2.0,75.75
8,2013-01-09,31,26,19.7,80.5
9,2013-01-10,29,26,5.799999999999999,82.375
10,2013-01-11,31,26,3.4000000000000004,79.0
11,2013-01-12,31,26,4.8,76.5
12,2013-01-13,33,25,12.3,76.25
13,2013-01-14,33,26,17.2,76.625
14,2013-01-15,31,26,32.4,78.75
15,2013-01-16,31,26,8.6,79.0
16,2013-01-17,31,26,9.5,79.125
17,2013-01-18,31,26,10.9,76.75
18,2013-01-19,33,25,5.7,79.5
19,2013-01-20,34,26,3.0,75.125
20,2013-01-21,34,26,5.7,75.125
21,2013-01-22,33,26,12.6,77.25
22,2013-01-23,32,27,1.7000000000000002,76.625
23,2013-01-24,32,26,9.4,77.375
24,2013-01-25,31,26,6.9,77.75
25,2013-01-26,33,25,13.700000000000001,77.375
26,2013-01-27,33,26,7.4,77.125
27,2013-01-28,32,26,16.4,78.875
28,2013-01-29,32,26,17.5,77.5
29,2013-01-30,31,27,12.000000000000002,79.375
30,2013-01-31,34,25,21.999999999999996,76.0
31,2013-02-01,32,27,37.4,78.625
32,2013-02-02,32,27,2.7,77.25
33,2013-02-03,32,26,1.0000000000000002,74.75
34,2013-02-04,33,27,10.700000000000001,76.75
35,2013-02-05,33,25,17.099999999999998,79.25
36,2013-02-06,33,26,8.8,77.75
37,2013-02-07,33,25,7.700000000000001,79.375
38,2013-02-08,34,26,0.4,75.375
39,2013-02-09,32,27,22.300000000000004,78.75
40,2013-02-10,33,26,15.2,77.375
41,2013-02-11,32,26,2.5,76.75
42,2013-02-12,33,25,10.7,78.125
43,2013-02-13,32,26,11.2,77.375
44,2013-02-14,33,26,20.8,77.25
45,2013-02-15,33,25,13.3,78.0
46,2013-02-16,33,25,29.1,79.625
47,2013-02-17,32,25,8.3,76.875
48,2013-02-18,30,26,6.000000000000001,78.375
49,2013-02-19,31,26,5.6,77.0
50,2013-02-20,32,25,2.5000000000000004,76.75
51,2013-02-21,33,25,4.000000000000001,75.5
52,2013-02-22,31,26,6.200000000000001,78.0
53,2013-02-23,32,25,9.1,78.25
54,2013-02-24,33,25,2.3000000000000003,75.0
55,2013-02-25,35,25,0.1,73.625
56,2013-02-26,34,26,0.9,74.25
57,2013-02-27,34,26,1.5,74.5
58,2013-02-28,34,26,0.30000000000000004,74.0
59,2013-03-01,33,26,2.1,76.875
60,2013-03-02,33,27,2.3,76.5
61,2013-03-03,33,26,9.0,77.75
62,2013-03-04,33,26,21.2,79.125
63,2013-03-05,30,26,19.099999999999998,80.375
64,2013-03-06,32,25,3.4000000000000004,75.625
65,2013-03-07,35,25,7.6,73.125
66,2013-03-08,33,25,12.4,78.0
67,2013-03-09,33,25,7.4,78.875
68,2013-03-10,33,25,3.6,78.125
69,2013-03-11,34,24,9.7,77.125
70,2013-03-12,34,25,7.1000000000000005,76.875
71,2013-03-13,33,25,10.899999999999999,79.125
72,2013-03-14,33,25,11.1,78.25
73,2013-03-15,33,25,9.1,78.5
74,2013-03-16,34,25,14.700000000000001,76.5
75,2013-03-17,35,24,16.400000000000002,75.75
76,2013-03-18,34,24,18.299999999999997,77.0
77,2013-03-19,34,25,6.8,76.75
78,2013-03-20,33,26,16.799999999999997,77.875
79,2013-03-21,35,25,8.2,73.375
80,2013-03-22,34,25,13.4,78.75
81,2013-03-23,33,25,1.9000000000000001,76.125
82,2013-03-24,34,25,11.5,76.5
83,2013-03-25,33,25,22.2,80.5
84,2013-03-26,33,25,17.6,80.25
85,2013-03-27,34,26,9.799999999999999,78.625
86,2013-03-28,35,26,10.2,75.5
87,2013-03-29,34,26,16.700000000000003,78.0
88,2013-03-30,33,26,8.5,78.5
89,2013-03-31,34,26,12.8,77.375
90,2013-04-01,34,26,12.2,77.25
91,2013-04-02,35,26,13.8,76.625
92,2013-04-03,35,26,19.6,77.75
93,2013-04-04,34,27,28.1,79.125
94,2013-04-05,34,27,29.599999999999998,79.75
95,2013-04-06,32,27,44.6,81.25
96,2013-04-07,31,26,4.7,80.5
97,2013-04-08,33,25,3.7,79.25
98,2013-04-09,33,26,1.7000000000000004,76.25
99,2013-04-10,34,26,8.0,76.5
100,2013-04-11,35,26,13.500000000000002,75.5
101,2013-04-12,35,25,12.100000000000001,75.125
102,2013-04-13,34,26,25.6,78.0
103,2013-04-14,36,25,2.8,76.75
104,2013-04-15,35,26,7.3,78.25
105,2013-04-16,35,27,7.1000000000000005,76.375
106,2013-04-17,34,27,23.3,75.5
107,2013-04-18,34,26,9.0,76.25
108,2013-04-19,31,26,12.1,79.75
109,2013-04-20,34,26,11.9,78.625
110,2013-04-21,34,26,11.5,78.875
111,2013-04-22,33,27,7.1,76.875
112,2013-04-23,33,26,3.7,74.375
113,2013-04-24,34,26,18.0,77.5
114,2013-04-25,34,26,22.9,78.375
115,2013-04-26,32,27,27.4,79.0
116,2013-04-27,34,26,5.0,78.625
117,2013-04-28,35,26,5.999999999999999,77.75
118,2013-04-29,34,26,1.3,75.375
119,2013-04-30,35,26,2.9,76.625
120,2013-05-01,35,26,9.700000000000001,77.375
121,2013-05-02,34,25,8.0,76.875
