,Date,Max Temperature C,Min Temperature C,Precipitation Total,Humidity Avg
0,2013-01-01,26,22,0.8,82.25
1,2013-01-02,27,23,0.30000000000000004,81.125
2,2013-01-03,26,22,2.9000000000000004,86.625
3,2013-01-04,27,23,1.7000000000000002,81.875
4,2013-01-05,26,23,12.100000000000001,84.5
5,2013-01-06,25,23,37.3,93.375
6,2013-01-07,26,24,28.5,93.875
7,2013-01-08,28,24,6.2,88.125
8,2013-01-09,27,24,3.5,85.5
9,2013-01-10,25,23,4.3,85.75
10,2013-01-11,27,23,0.5,81.125
11,2013-01-12,29,21,0.30000000000000004,79.5
12,2013-01-13,28,20,0.5,81.875
13,2013-01-14,27,21,1.1,82.125
14,2013-01-15,27,22,0.4,77.375
15,2013-01-16,28,19,0.30000000000000004,77.125
16,2013-01-17,26,20,0.9,78.0
17,2013-01-18,25,21,3.5,78.875
18,2013-01-19,28,20,0.7999999999999999,80.625
19,2013-01-20,29,21,0.1,82.5
20,2013-01-21,29,20,0.4,83.875
21,2013-01-22,29,21,0.1,82.75
22,2013-01-23,29,20,0.0,80.25
23,2013-01-24,29,19,0.1,81.0
24,2013-01-25,28,21,1.1,81.625
25,2013-01-26,28,19,0.0,78.75
26,2013-01-27,27,20,0.7,79.625
27,2013-01-28,27,22,1.2,79.875
28,2013-01-29,28,21,0.7,80.5
29,2013-01-30,28,21,0.5,81.375
30,2013-01-31,28,22,0.4,80.875
31,2013-02-01,29,19,0.0,78.0
32,2013-02-02,28,22,0.1,79.625
33,2013-02-03,28,22,0.6,84.375
34,2013-02-04,29,22,1.9,85.375
35,2013-02-05,29,22,0.9999999999999999,82.875
36,2013-02-06,29,22,0.6,83.75
37,2013-02-07,30,21,0.0,83.5
38,2013-02-08,29,22,0.0,83.25
39,2013-02-09,29,23,0.7,80.5
40,2013-02-10,28,23,1.1,79.25
41,2013-02-11,28,21,0.2,77.625
42,2013-02-12,29,20,0.4,78.375
43,2013-02-13,27,23,0.7999999999999999,82.75
44,2013-02-14,28,23,7.2,85.375
45,2013-02-15,29,23,0.6,82.375
46,2013-02-16,29,23,1.7000000000000004,81.875
47,2013-02-17,29,22,0.5,79.5
