,Date,Max Temperature C,Min Temperature C,Precipitation Total,Humidity Avg
0,2013-01-01,28,20,2.2,87.25
1,2013-01-02,22,18,15.199999999999998,97.375
2,2013-01-03,21,18,3.8,96.5
3,2013-01-04,24,19,2.4,94.625
4,2013-01-05,29,20,7.500000000000001,88.0
5,2013-01-06,29,19,14.5,84.375
6,2013-01-07,29,19,15.799999999999997,87.75
7,2013-01-08,29,19,6.1000000000000005,85.375
8,2013-01-09,26,20,17.900000000000002,93.375
9,2013-01-10,21,17,9.1,97.625
10,2013-01-11,20,17,2.2,93.5
11,2013-01-12,22,17,10.5,92.0
12,2013-01-13,25,18,19.200000000000003,91.0
13,2013-01-14,24,19,20.699999999999996,90.375
14,2013-01-15,24,17,9.4,90.625
15,2013-01-16,24,17,31.0,93.5
16,2013-01-17,26,17,18.2,90.25
17,2013-01-18,26,17,4.3,91.125
18,2013-01-19,26,17,5.6,89.25
19,2013-01-20,23,18,1.7000000000000002,91.5
20,2013-01-21,23,17,1.0999999999999999,88.875
21,2013-01-22,23,17,1.6,89.875
22,2013-01-23,25,18,2.1,88.375
23,2013-01-24,28,18,6.999999999999999,86.625
24,2013-01-25,29,18,3.8,85.5
25,2013-01-26,22,19,5.5,96.125
26,2013-01-27,21,18,2.7,95.75
27,2013-01-28,21,18,2.3999999999999995,96.75
28,2013-01-29,23,18,2.3000000000000003,95.375
29,2013-01-30,25,20,3.0,92.875
30,2013-01-31,28,20,6.7,91.375
31,2013-02-01,29,19,8.6,88.75
32,2013-02-02,30,20,9.1,86.625
33,2013-02-03,26,19,12.599999999999998,89.75
34,2013-02-04,22,19,34.4,95.75
35,2013-02-05,23,18,1.4,93.125
36,2013-02-06,23,18,16.0,93.125
37,2013-02-07,26,18,25.1,93.125
38,2013-02-08,24,17,3.2,90.75
39,2013-02-09,27,17,14.100000000000001,92.375
40,2013-02-10,26,19,6.1,88.0
41,2013-02-11,28,17,20.000000000000004,89.0
42,2013-02-12,29,18,3.5999999999999996,84.125
43,2013-02-13,26,19,2.5,88.375
44,2013-02-14,28,19,7.5,88.375
45,2013-02-15,28,20,4.999999999999999,85.25
46,2013-02-16,27,20,5.3,85.5
47,2013-02-17,29,20,8.7,85.625
48,2013-02-18,29,20,11.9,83.5
49,2013-02-19,28,19,8.799999999999999,86.0
50,2013-02-20,30,19,8.9,86.25
51,2013-02-21,29,18,0.7,77.5
52,2013-02-22,27,17,6.5,88.25
53,2013-02-23,25,20,2.1,92.5
54,2013-02-24,28,19,14.599999999999998,87.5
55,2013-02-25,29,18,5.8,83.0
56,2013-02-26,26,19,11.499999999999998,89.5
57,2013-02-27,25,19,23.3,93.5
58,2013-02-28,24,19,2.4000000000000004,93.5
59,2013-03-01,24,19,1.2000000000000002,91.75
60,2013-03-02,28,18,5.2,89.625
61,2013-03-03,29,16,3.2,87.625
62,2013-03-04,30,17,0.8,82.5
63,2013-03-05,29,19,4.2,86.375
64,2013-03-06,27,19,19.2,90.875
65,2013-03-07,28,19,12.3,91.75
66,2013-03-08,31,20,9.200000000000001,89.625
67,2013-03-09,29,19,9.799999999999999,90.875
68,2013-03-10,28,19,9.8,87.875
69,2013-03-11,28,20,20.199999999999996,92.5
70,2013-03-12,29,19,27.6,90.0
71,2013-03-13,28,20,16.700000000000003,89.25
72,2013-03-14,22,19,54.300000000000004,99.0
73,2013-03-15,25,19,1.4000000000000001,93.375
74,2013-03-16,25,19,6.7,94.75
75,2013-03-17,26,19,60.300000000000004,95.75
76,2013-03-18,18,17,27.9,97.875
77,2013-03-19,21,16,1.2000000000000002,94.375
78,2013-03-20,22,15,1.9,90.375
79,2013-03-21,25,17,6.1,91.125
80,2013-03-22,26,17,9.2,92.875
81,2013-03-23,21,18,2.5,96.375
82,2013-03-24,23,19,3.2,94.5
83,2013-03-25,25,18,17.7,93.125
84,2013-03-26,24,20,4.0,94.75
85,2013-03-27,25,15,2.5,88.75
86,2013-03-28,23,17,0.7,88.375
